INDEX,TYPE_AD,TERMINAL,OFF_BLOCK_TIME,NB_PAX_GROUND,NB_PAX_AIR,FROM_ROAD,FROM_SUBWAY,FROM_TRAIN,FROM_AIR
0,departure,T3,1500,157,0,"[-7232.958220893139, -7043.930877214324, -6979.682326104183, -6464.067856303073, -6213.0013920871015, -6029.552763695401, -5990.502678677395, -5840.558425360521, -5546.3165118647785, -5471.336008284035, -5250.074300674138, -5224.690075298967, -5167.500286378585, -5143.647863820077, -5109.65001855861, -4726.89062637897, -4694.107103540889, -4638.953475383784, -4579.925254758586, -4560.074533749929, -4504.3274566170085, -4174.00916494333, -4080.771762933222, -4024.28136695202, -3941.647893189666, -3867.547546474957, -3777.8751048230433, -3700.1737367369587, -3676.1379490862773, -3652.0837462415666, -3594.0041978034237, -3550.1832619846473, -3447.204810575981, -3443.9830307530997, -3406.8398560851615, -3367.6903022608035, -3335.8790037735853, -3305.588980138851, -3136.7490890429217, -3055.140520564816, -3032.146858591601, -3024.795444979989, -3009.4750038216393, -2999.8386432725183, -2966.707176611703, -2915.871359145758, -2893.655904544626, -2803.894556459346, -2793.6779001670543, -2754.6582907408056, -2722.668883542582, -2670.3263465849423, -2639.5776051323405, -2636.839496117863, -2545.675285042982, -2511.0500777865254, -2485.2366303960766, -2476.5892291360965, -2460.258387236486, -2454.211469051668, -2422.6310501398057, -2390.337034766514, -2332.145271317038, -2309.821516947505, -2242.361169138713, -2183.467059719549, -2105.823259520202, -2072.889465253733, -2045.6789196982563, -2001.0646397289388, -1984.9765795576889, -1812.718379164157, -1702.1385954270454, -1633.4524167299476, -1485.5620846794825, -1468.7119177419868, -1462.7751191616476, -1436.8487517078238, -1425.68951569436, -1310.9726083792204, -1267.1811862501313, -1237.9456798690107, -1223.187722887018, -1160.2918769969215, -1158.7917212232148, -1143.102315718365, -1130.560585452245, -1127.9630912171185, -971.4285786815178, -841.6962098026107, -811.1145220934383, -664.3862181365558, -365.81231698551005, -320.502854987337, -295.2018150174655, -135.1371719238088, -122.78772548961655, -106.39292311835248, 75.4271903879615, 149.28206075501876, 363.2546563134332, 402.99000033299313, 781.3083063982288, 1266.181902427817, 1458.5450689087174, 1547.8025508718727, 2242.1142724900974]","[-6844.676900609623, -6758.763095951125, -6555.505269780565, -5367.107371302182, -4957.131123008679, -4720.648546543551, -4621.850517749901, -4537.001571275934, -4479.604247280405, -4445.8872214570665, -4326.89047717961, -4264.3972731666, -4101.052109342501, -4089.883841976068, -4087.5568816334544, -3818.4488876578926, -3646.827658615245, -3340.797220309728, -3257.795420498874, -3213.4886849291224, -2795.3163365006944, -2769.5077980724, -2636.0610992681413, -2572.5561454293097, -2535.870692894965, -2520.1245605025606, -2482.7999737928435, -2453.5861061065007, -2266.665436786738, -2116.7210329021173, -2103.011332779772, -1986.2931639294056, -1968.0016222742051, -1862.7993699362564, -1858.1027562298743, -1615.476589187085, -1613.6647534216859, -1566.5009125689853, -1407.8894878309284, -1193.1362957814267, -1184.8599260251624, -870.0215371853462, -470.1077817430908, -208.7200092217708, -105.38200817976289, 102.73224604766583, 144.62043069618915, 293.8076947664092, 308.96514673361366, 1306.2042714758609]",[],{}
1,departure,T3,15000,165,5,"[3532.8389247626665, 4686.29447335807, 4851.706042108289, 5874.995807979157, 6819.272335863471, 6832.034576703134, 7087.7792629418, 7125.7829241044155, 7291.062266693047, 7335.497182850815, 7557.903107973174, 7776.3470009360835, 7920.829235498882, 7947.353028883136, 8421.349420264885, 8507.223672333925, 8573.138104829146, 8667.183872917902, 8698.206650365193, 8727.314936705696, 8943.426193651676, 8986.669325891973, 9000.442596444507, 9211.36578171482, 9294.650787069117, 9310.431764986079, 9327.703938676175, 9351.620380449689, 9364.007866828024, 9458.575181442031, 9468.142328171889, 9496.155439713157, 9563.489067915536, 9595.253057729591, 9806.985697860475, 9842.423457587214, 9856.693251475372, 9861.65431101106, 9887.493055251856, 10047.476665177783, 10088.076264226895, 10133.344000660241, 10154.108879186953, 10307.873931602253, 10367.708658515323, 10368.939742419492, 10472.801254934247, 10501.467372612315, 10526.67530816524, 10601.840195988021, 10698.400750985398, 10823.339087442642, 10907.56435590795, 11015.024647897064, 11015.171533429073, 11108.634845032317, 11135.789219831655, 11154.169735665393, 11189.985285908706, 11222.999558333346, 11238.963607114867, 11248.560495531605, 11282.923644455333, 11344.19449110845, 11349.609870223394, 11378.230827344783, 11431.989280397895, 11511.166352179864, 11530.463887473092, 11552.529953061125, 11567.554499221944, 11585.119559674935, 11628.9846422461, 11633.330393607843, 11645.392008000134, 11651.782496700716, 11787.911827464266, 11824.336558608407, 11854.33595844237, 11956.967842456042, 12006.257985653376, 12037.984918746422, 12048.612754267098, 12076.137925149284, 12076.277304698162, 12089.14791212792, 12095.112547585815, 12121.735046960004, 12144.77468361962, 12207.098961103182, 12207.812023212875, 12265.418032743002, 12266.017130934533, 12292.680032262122, 12382.763767496544, 12462.36126602878, 12473.863241788762, 12565.809688663665, 12723.572140365124, 12826.851976919981, 12844.556134807774, 13009.371752334358, 13016.602720091467, 13065.47334711706, 13080.25622521003, 13224.122808585375, 13247.903364815085, 13485.61532943206, 13539.46943305831, 13785.264138920007, 13832.049349684714, 14265.355036348692, 14516.914760115178]","[1057.9106377839917, 7615.103278754948, 7825.6233505732, 8159.352946958108, 8470.940612950784, 8691.494251535829, 8769.5755938324, 8858.169050216155, 9152.011126295383, 9441.885055637718, 9720.069012632657, 9889.74814461772, 9930.504446347668, 10039.464562770328, 10071.848120751914, 10120.281837789797, 10234.485697594992, 10235.534315722305, 10586.835699155921, 10602.400513431792, 10655.132068434234, 10689.250271413764, 10783.129476656284, 10826.18168638058, 11044.792953072985, 11279.124339016189, 11293.372859471938, 11337.237978594452, 11482.921717447092, 11693.717072051739, 11696.051281385115, 11757.235915380326, 11769.57569702408, 11819.60845511453, 11933.481788092038, 11947.860000030507, 11964.313302158458, 11966.003934869264, 11982.19164695611, 11984.169523834755, 12100.417225482157, 12257.79599433532, 12283.72519942655, 12358.235283501288, 12527.595993136118, 12695.019637308062, 12714.714187040223, 12777.504085953715, 12841.279575107612, 12917.067822436333, 13081.972964601939, 14537.492449852296]",[],{5: 5}
3,departure,T3,21000,196,0,"[10326.17802598148, 10743.617516549582, 10804.16042636686, 10874.54423224174, 11366.299739477592, 12315.777126425677, 12320.980225471498, 12775.475400632491, 13074.95872785394, 13148.537618479462, 13164.076052265234, 13233.239055771044, 13439.095430468446, 13557.845563370633, 13885.58880925143, 14035.693137139424, 14164.520042887172, 14386.634014332632, 14719.027395300318, 14848.975806154747, 14880.515977160652, 15001.220328383115, 15008.41759830426, 15124.903112188413, 15154.904892368726, 15275.979391897154, 15315.006743111282, 15340.325364296856, 15431.757044167065, 15442.689754853935, 15445.510102091932, 15448.173780705265, 15656.656480685122, 15782.540825051898, 15796.87706560546, 15798.878718281338, 15814.364251968616, 15832.053447518518, 15854.357429006892, 15881.04221963205, 15963.107034904351, 15963.494266256923, 16016.052349413741, 16019.065419550196, 16047.342264609162, 16101.51367621358, 16142.258196649916, 16153.278456018536, 16162.729803744349, 16176.8743456596, 16375.600598207573, 16380.600154374595, 16421.562965426296, 16456.940298370624, 16499.651174175873, 16502.54847592397, 16529.076059765128, 16582.254997413052, 16591.61019512882, 16627.10093167497, 16654.45293486556, 16682.070742264536, 16724.551240568268, 16738.734059509858, 16878.55766049278, 16924.592390144462, 16950.587224633266, 16964.15296908064, 17001.43891959459, 17006.20291276783, 17017.905171094368, 17098.413201602638, 17113.80606028353, 17148.540723087255, 17150.377999148546, 17238.020357235364, 17271.04239875077, 17272.54945758595, 17285.870732149335, 17336.23500145262, 17348.313350901437, 17361.92202137019, 17481.550266303464, 17501.867380281863, 17558.343790895244, 17587.518259667828, 17630.701345823203, 17665.013528296753, 17665.459880925035, 17707.008363707202, 17812.148624282105, 17822.62930420792, 17840.584422382304, 17843.073490806833, 17870.07124902469, 17886.886326107706, 17936.12433395483, 17968.77095925483, 18008.25363875606, 18027.73429193566, 18041.486396428936, 18091.655061475543, 18092.096670281793, 18092.68833717857, 18111.165883632504, 18133.015753160824, 18133.152943650544, 18190.788848758275, 18252.779796678846, 18301.939117280832, 18303.196818927965, 18367.081792674897, 18464.613749662367, 18683.540167825588, 18706.498646672982, 18772.86713145805, 18780.70484152603, 18807.88431393537, 18920.00555100081, 19003.61756595287, 19067.389875380697, 19166.152461703972, 19218.065200243265, 19237.629195176374, 19242.657263644487, 19279.349464749124, 19489.107546296113, 19543.03289208953, 19941.53923879821, 19990.424386676605, 20010.12199353863, 20119.236403089573, 21634.918800602656]","[11341.626406787875, 12613.584896299299, 13000.672089045634, 13536.062226255928, 14367.857219549749, 14849.049173293753, 15251.174378181879, 15390.397993678558, 15423.484652875002, 15513.66680250431, 15684.57365264105, 15856.49129789589, 15945.006473068624, 15954.960000707164, 16178.519986018084, 16254.688174338919, 16357.105898613812, 16436.217398266923, 16450.45305609745, 16477.6686112814, 16516.35375714353, 16571.820753714415, 16691.461886159384, 16729.612048090697, 16828.414115124095, 16851.814078653395, 16894.224458453114, 16948.65547535321, 16973.752628431033, 17069.2503149802, 17103.021501952247, 17118.380328150455, 17128.04009774508, 17151.822689005272, 17328.004669477777, 17367.046429002483, 17420.332454984942, 17458.724475578245, 17483.59475824609, 17488.814238174724, 17559.486614857702, 17639.43322444541, 17687.39198239738, 17693.318444213768, 17952.86724629142, 17968.527002136576, 18290.151487055282, 18307.725888465528, 18326.664125594918, 18353.60828779313, 18407.406132504224, 18455.959514304348, 18577.1889262404, 18764.947574965474, 18766.465480719813, 18852.16696871487, 18926.739374327743, 19058.523699777692, 19317.129193874927, 19390.046886301756, 19543.82969499991, 19566.260472472928, 20084.380403372867]",[],{}
4,departure,T3,32700,47,1,"[12622.997190462303, 17984.582742723374, 19865.792126557, 21603.659111750716, 21719.077081793195, 22578.149379462546, 22812.227779192064, 22846.247339862446, 24621.46498079925, 25003.775396154633, 25025.172148678354, 25153.06250837038, 25306.697427254778, 26262.730385709106, 26553.755379136328, 26862.524449729353, 26914.567112579916, 27017.16388530847, 27065.23709399349, 27415.45413932635, 27606.194557501392, 27870.49496515662, 28125.746483689152, 28313.090954017152, 28318.406934786653, 29309.298529029526, 29358.08742452113, 29506.6111316708, 29740.805963783365, 31502.34970751778]","[23111.640834662256, 24430.05236645589, 25276.753220983956, 25385.24963019675, 26189.993667814953, 28000.58172404882, 28357.62725987494, 28642.80641034464, 29424.876297211627, 29480.75357587785, 30200.44323094387, 30691.32977741723]","[28620, 28620, 30240, 30240, 30240]",{147: 1}
7,departure,T2E,28800,144,154,"[18330.04257370279, 18964.791562679315, 19525.489694806667, 20398.49906210944, 20675.75829581865, 20845.91356573128, 21453.37145901248, 21472.42081436423, 21554.891048831916, 21597.440776834665, 21633.066015132925, 21676.67699422877, 21802.078959656494, 21833.6702670439, 21946.433568698772, 22015.266092267062, 22070.72462446063, 22112.29876156444, 22209.155528163166, 22501.407681133274, 22618.15553260192, 22727.086946988813, 22796.51789992884, 22848.18443490151, 22875.389070898298, 22926.69834824636, 22943.823004834867, 22955.49822208918, 23171.27505848581, 23224.847003474228, 23261.56786120707, 23262.884493606973, 23488.00272782046, 23511.6829823678, 23627.80436883035, 23737.675679511016, 23856.204351786942, 23866.156605092605, 23905.926734105295, 23923.76709568764, 23941.415045090635, 23942.552712931312, 23946.460679762273, 24013.643625712717, 24093.28138715034, 24215.823144182465, 24269.596919133848, 24371.073103483115, 24372.267139124593, 24418.097905811668, 24421.591216483324, 24443.066412612872, 24517.574940567567, 24532.906854491142, 24564.260451418864, 24602.705809764844, 24772.312265470056, 24853.81404641855, 24986.3701937169, 25002.42523832597, 25119.55454447684, 25187.9200141782, 25265.83591124352, 25317.394915951252, 25352.577555495325, 25421.54180425896, 25452.730851017594, 25495.737093974214, 25566.25634432289, 25577.126812043443, 25599.103600120183, 25659.509309723857, 25683.93376635801, 25746.810990000577, 25763.888474043277, 25780.836850180818, 25814.950012029563, 26099.88210643601, 26210.994898635818, 26250.03790981054, 26328.554754735058, 26448.35000835758, 26454.376805877688, 26623.58786571925, 26792.273593275553, 26825.66215386193, 26955.371476230022, 26981.300876674428, 27077.5619470684, 27094.86446132576, 27285.6245788028, 27379.351248773062, 27429.269159616062, 27561.63058980368, 27689.668803596087, 27771.644692171783, 28527.649908651394, 28726.41372090691]","[20401.963987460884, 20921.66747652483, 21156.10245186654, 21247.305424965212, 22115.466056852492, 22328.117595959033, 22334.219935420548, 22412.419825513232, 22587.790201742435, 22739.25980286293, 23058.05784857899, 23136.127233501596, 23350.597171845402, 23402.446427622526, 23586.868464786607, 23778.572365991273, 23807.62803573685, 23808.798646776562, 23812.392184376098, 24119.130642017873, 24132.194491726983, 24393.68731811501, 24407.699260847836, 24708.272367839196, 24732.946997818548, 24810.63625444108, 24832.23809159748, 24837.28296545323, 24842.584480511483, 24928.11608446001, 25027.180357246212, 25081.752813804436, 25096.99480347332, 25262.122069501133, 25331.996381047138, 25379.693069623972, 25411.577273933406, 25421.90612874785, 25515.36379935518, 25525.962587104725, 25614.324078969046, 25616.580917858944, 25778.507900465658, 26202.02077271937, 26285.241477357264, 26382.922627896336]",[],"{37: 31, 74: 44, 84: 11, 96: 22, 101: 30, 102: 16}"
8,departure,T3,36600,94,3,"[21584.925296446734, 23083.990122226052, 23378.918768466, 23650.866338708587, 24168.626878930543, 24933.76963334631, 25868.830349697622, 26017.291326634986, 26257.573088474215, 27054.55213031364, 27238.221082185533, 27453.573557454027, 27511.37928389763, 27511.48931270702, 28135.565945465994, 28824.049611763483, 28860.046980869633, 29742.265317203728, 29823.159589433348, 30028.999416835868, 30318.827454217808, 30567.501886164024, 30594.110095985146, 30727.5914827542, 30738.749803801787, 31025.99728984387, 31231.49173847192, 31253.590372307717, 31369.67489755346, 31503.860482665074, 31803.748800583013, 31846.901485991126, 31853.1542554212, 32322.799959377186, 34948.92032529752, 35195.54852945679, 35261.19413231737, 35426.69193408232, 35462.06158866583, 35598.850970503765, 35615.89925084035, 35680.687379686264, 35698.2924758388, 35766.75759053124, 35887.54831542655, 36006.8827187387, 36188.468788981896, 36257.92869739109, 36292.642139308955, 36461.80073663778, 36542.18556504441, 37013.848098065464, 37158.88470435145, 37220.70335330815, 37516.217112833845, 37650.51246137421, 38692.527904400624]","[25151.30541245831, 26574.16338571198, 26651.42735243132, 28638.200049128784, 28774.502043265395, 28880.288420701287, 29174.051500840444, 29182.559613609767, 29237.413631437797, 29472.27978243419, 29709.54359302646, 29930.90517725592, 29942.56906391639, 30640.435612551042, 31503.92676219905, 32048.91922900757, 32774.504757678566, 32797.717635243054, 32844.54302903496, 32984.42005926533, 33278.13267557826, 33341.10189466538, 33414.803594339995, 34306.94518562906, 34553.41670058381, 35942.77787835489]","[28620, 30240, 32820, 32820, 33060, 33060, 33360, 33360, 33660, 33660, 33660]","{206: 2, 233: 1}"
9,departure,T2E,25800,28,31,"[18086.83933885271, 19660.328344745027, 20334.713409607382, 20748.206577993416, 20812.983358044625, 20827.884012822135, 21038.362271389837, 21105.5617979984, 21161.496013439155, 21198.446695605522, 21391.208743221632, 21529.321568787862, 22001.029121635383, 22020.802475020726, 22029.47560824501, 22035.42396253567, 22210.650125000582, 22857.01502502266, 22863.067953128004, 23066.429576496877]","[18101.27696866881, 18166.753245435997, 21160.551975942788, 21354.088512633858, 21583.25989755882, 23006.30628962418, 23917.89914583266, 24130.49021107631]",[],"{13: 2, 14: 2, 15: 2, 16: 1, 17: 2, 18: 1, 19: 1, 21: 1, 23: 3, 24: 1, 25: 1, 26: 3, 27: 1, 28: 1, 29: 5, 30: 1, 32: 1, 35: 2}"
10,departure,T3,18900,199,0,"[8253.594842789718, 8485.740562364846, 10049.426075745007, 10422.319269290221, 10495.899591874326, 10753.454749454679, 11357.091982929749, 11449.095883993625, 11486.827221593147, 11580.612761810036, 11706.548402571094, 11781.442051919079, 11803.77699301236, 11867.971417723635, 11935.159415790376, 11974.3574761623, 12006.069120105078, 12101.907372338072, 12111.831157689623, 12298.300832331526, 12406.92117438263, 12499.75957582719, 12704.80875610978, 12710.910817112237, 12766.904730645536, 12777.963298672126, 12812.402790712476, 12865.231945370078, 12939.529275047136, 13106.275336102764, 13168.303209684922, 13215.62239168457, 13260.3709602851, 13303.550923886609, 13379.099320178242, 13392.123001081169, 13423.025692627267, 13426.97866394923, 13567.109028386776, 13603.329914027312, 13603.523114593105, 13622.890167077872, 13732.036743123845, 13816.14382566907, 13828.253630790838, 13828.386821666085, 13832.192097370176, 13836.174970965152, 13843.022155869196, 13848.893252631151, 13853.903085320211, 13887.203051035127, 13914.71306810366, 13975.326900335529, 14017.013707058319, 14057.984471396425, 14070.673821895143, 14071.101211709161, 14215.595300197987, 14253.208983909557, 14312.085924385652, 14339.65175285546, 14412.256722503414, 14453.152517726558, 14464.526698266582, 14471.262887713056, 14491.466760742554, 14498.813392223963, 14521.80362070281, 14561.919412478324, 14629.388893866551, 14637.600402931577, 14674.712754570342, 14716.363750595505, 14758.827429212999, 14762.041457109948, 14844.043029569113, 14852.103523660928, 14852.784951698563, 14889.401047762396, 14915.212190835935, 14995.813995417759, 15017.137886575194, 15020.359457289329, 15040.163275522315, 15070.743830880043, 15154.551906840108, 15176.054503587155, 15200.63825137708, 15210.911820853473, 15222.894377253673, 15228.571307295206, 15229.197187309332, 15282.720830784812, 15299.161400652722, 15428.123070022104, 15447.039193464469, 15487.214280957976, 15504.066505352479, 15602.386828279175, 15616.207276499192, 15635.098960519434, 15701.905550214751, 15722.955299419693, 15759.166008543241, 15775.30293997983, 15794.971592885378, 15799.888145857643, 15859.758089222636, 15954.05854688025, 16079.415138454075, 16252.337277240576, 16326.562091085845, 16522.28723190489, 16546.703791217496, 16552.478360792877, 16690.26343955273, 16741.928402936897, 16757.047193631653, 16916.249877562535, 16918.161637517103, 16929.123427492377, 17024.294413022817, 17031.04984085669, 17159.94232128359, 17447.743030165315, 17481.324893809255, 17531.562894967024, 17916.422246318696, 18533.69962653945, 19186.383476836283, 19357.43347313124]","[9212.940610418202, 9491.325243147297, 10587.437118841295, 10621.062446797992, 11500.06320120975, 11662.180045445546, 11686.35830224738, 12213.776662643662, 12223.88659625053, 12357.898513269396, 12462.487612077253, 12474.229818209345, 12749.08618515491, 12798.569555434555, 12808.620170780665, 13084.201994210702, 13143.125411113127, 13445.703026820047, 13563.97194165566, 13686.28981170023, 13914.56286634896, 13966.054543655344, 14034.801155455405, 14064.790319971857, 14123.356990173861, 14138.91751081327, 14144.542607999743, 14226.548450841945, 14259.440874540081, 14359.070517046643, 14397.076426275065, 14486.131260252323, 14596.957416107789, 14613.495491098047, 14995.855857704031, 15108.712328967815, 15153.286324610788, 15161.258332348749, 15327.924571810943, 15357.973126935902, 15374.055144100756, 15375.190151075993, 15560.853272706445, 15660.676481544477, 15685.074886916073, 15708.662703450096, 15777.649381475516, 15901.06086344307, 16040.430285514178, 16107.454890513245, 16265.46763792606, 16554.728268006424, 16590.57126954569, 16591.89069984992, 16648.55561646713, 16723.181994045197, 16832.7661897878, 16877.0673483187, 17245.272204463196, 17275.96313417943, 17297.69470530279, 17437.821470088093, 17629.026704302978, 17811.99527443478, 17893.590432672536, 18314.424773252344, 18528.375403216756]",[],{}
11,departure,T2D,19800,151,0,"[8373.264520450553, 9869.122754732249, 10286.319041962759, 10335.981988743617, 10934.926736769468, 11158.05151445499, 11516.753597404182, 11643.033332448165, 11656.027844568749, 11684.396958981471, 11695.159761941388, 12383.32797453473, 12396.778307890454, 12653.205931578945, 12931.304415663437, 12934.49230615212, 12958.718321190783, 13004.032239628588, 13279.424455101369, 13526.621124451465, 13531.390730917947, 13587.121590519331, 13851.300857218099, 13927.121513405598, 13960.464550119235, 14036.05065516035, 14048.140401381186, 14264.173851536478, 14270.854633054445, 14300.057455035978, 14374.902493409534, 14493.093334436491, 14578.531334865515, 14642.078120114376, 14728.212299726392, 14756.809011851532, 14777.167248890437, 14861.695103443068, 14923.752201672563, 15021.75021403988, 15059.755872515703, 15065.921986194377, 15079.474165682745, 15145.148120573287, 15204.067857728705, 15260.31473474191, 15378.747215647229, 15418.756612820718, 15458.8754015877, 15478.61482453967, 15483.59221329846, 15484.884644232814, 15497.098235499825, 15563.980031116678, 15604.556529083287, 15718.408677632113, 15782.8782222761, 15795.207299991747, 15853.66190838315, 15861.545235387848, 15964.125284792082, 15978.175362422087, 15998.16814703311, 16201.178992068315, 16306.970337887455, 16323.059588163174, 16333.808450103656, 16367.712740245523, 16383.354928530951, 16391.545705131968, 16412.37260697368, 16420.154637570333, 16439.31659211753, 16522.83391226121, 16666.537562808495, 16704.252916108537, 16747.241661067223, 16753.75462306581, 16775.354667237265, 16824.70221518287, 16902.592299158037, 16963.301639840785, 16982.99865569167, 17010.045756902815, 17051.175867727812, 17078.27706002589, 17102.614344547415, 17150.69061845699, 17191.2299979715, 17375.001226059227, 17475.161443419838, 17547.30563764392, 17631.0868734202, 17891.968021643293, 17952.278493464986, 18316.304632479114, 18445.941774960345, 18678.177129412757, 18890.462764437518, 18954.639128261293, 19347.01600364833, 20339.671605752857, 23327.930162660734]","[10130.797791666675, 13032.995913624329, 13344.011898163586, 13408.485373644759, 13589.984220384069, 13985.914419266317, 14035.068143051334, 14048.02772214466, 14215.177586566679, 14275.25920280374, 14294.695718124589, 14326.948711607509, 14483.706459545316, 14503.0527506681, 14617.840670524807, 14864.16294137642, 14963.228816219964, 15188.62934570632, 15418.59844844817, 15443.16703281916, 15618.114682339761, 15689.185094163982, 15742.484819114317, 15845.76964543018, 15868.645334229652, 15974.937342161316, 15996.224588515142, 16250.165482990113, 16351.711912826246, 16635.766625687982, 16689.83069242467, 16709.934588122924, 16754.119287087313, 16849.503778421615, 16858.483476724832, 16892.6738020047, 16944.110715066287, 17156.58706502706, 17229.548822437282, 17807.965903556746, 17905.522318207757, 18024.953179061184, 18145.402070801036, 18414.764499664252, 18441.01839439475, 18668.340202774474, 18943.67549179913, 19401.20935729839]",[],{}
13,departure,T2E,54600,129,140,"[40453.09248499414, 40679.42824040794, 40812.01299274477, 41010.67828707108, 41429.36388352496, 42525.6241888071, 42605.399404663505, 44466.46455051245, 44996.95274936684, 45071.38834195759, 45955.04095238756, 46351.87404298813, 46568.049042230865, 46579.05174880423, 46739.949930731076, 47194.58218720976, 47373.345781572374, 47956.91132469128, 48252.08717169631, 48349.807991591304, 48419.567335899694, 48510.56709497125, 48850.04851646272, 48872.990057582676, 48889.69128713561, 48928.96867151208, 48953.128586068604, 48987.364845471246, 48988.80698449462, 49051.06736115044, 49103.970418311685, 49131.880739029206, 49294.440624145565, 49454.45607010603, 49562.377941539235, 49664.83958764845, 49859.90296411614, 49863.80159880935, 49905.28312264332, 49955.792554850224, 50143.743343292386, 50156.15845381811, 50303.46293117432, 50391.90141999681, 50542.325451336714, 50563.985866940595, 50632.819185229964, 50828.85050321941, 50841.496861049134, 50877.999029164595, 51125.76728441041, 51212.47728250708, 51340.06725667133, 51347.11560967564, 51450.801018541824, 51510.91624712065, 51617.180485172794, 51656.53291869096, 51670.99610190283, 51840.84071865244, 51898.20457185406, 52095.153016609045, 52310.417496822505, 52320.34290062781, 52453.00264197145, 52459.33614983595, 52561.149286402586, 52672.31743778392, 52737.30054804534, 52806.340608896644, 52965.374430477525, 52983.54390036037, 53584.88060668615, 53653.26084827102, 53789.77696540675, 53887.969394651256, 54109.889787768625, 54148.09457404618, 54155.520092488725]","[40972.77109244808, 41044.39309987736, 42098.801002062835, 43680.472846470904, 43738.66084301437, 44327.12502802022, 44754.55234017658, 45238.40887069803, 45884.14539574085, 46089.865279129444, 46910.585510006946, 47093.34986611626, 47307.957906991556, 48755.05891801965, 49011.004480937256, 49149.9292796505, 49498.09697790385, 49650.637446633235, 49675.29040803821, 49690.53596096674, 49773.80238484963, 49794.11422443953, 49980.46320152736, 50127.99949685059, 50383.17740408232, 50506.81553083907, 50708.03898675689, 50808.36581681811, 50940.27274062259, 50986.67843947087, 51478.95914746796, 51786.20193165165, 52031.17223180844, 52179.96346640113, 53500.0859659868]","[44220, 44880, 44880, 44880, 46260, 46260, 46260, 46620, 46620, 49560, 49560, 49740, 49740, 52560, 52560]","{386: 1, 390: 7, 399: 3, 400: 7, 402: 1, 405: 6, 411: 2, 412: 9, 417: 1, 419: 12, 420: 10, 423: 9, 433: 3, 436: 1, 438: 9, 439: 7, 440: 7, 441: 2, 442: 9, 444: 9, 446: 9, 451: 6, 452: 4, 458: 6}"
