INDEX,TYPE_AD,TERMINAL,OFF_BLOCK_TIME,NB_PAX_GROUND,NB_PAX_AIR,FROM_ROAD,FROM_SUBWAY,FROM_TRAIN,FROM_AIR
0,departure,T3,1500,175,0,"[-8949.603654127548, -8870.95274399204, -8036.059465121975, -6285.905298050971, -6255.168718680112, -6158.491576041482, -6036.540329086872, -5751.587444258702, -5675.151017256654, -5603.570930924474, -5274.760848194028, -5218.947795434568, -5179.2192355286425, -5023.856706483793, -5019.148073948068, -4878.723793390362, -4841.905086053809, -4754.1338538562595, -4742.112292470136, -4664.496213364668, -4600.21195065111, -4497.190185812033, -4417.254541820744, -4222.240114038451, -4146.658889371407, -4102.906755971347, -4076.215029100502, -3979.028323562215, -3960.661608935761, -3919.1340039206398, -3909.4039215985713, -3869.1080554153195, -3867.502130715367, -3702.441420337749, -3693.848907929929, -3678.5636459810175, -3659.288406552955, -3603.7644839463287, -3563.6014106315642, -3492.871993973194, -3458.2911568456116, -3450.2949946583917, -3374.6254845505046, -3325.6298490553154, -3155.8186788431667, -3102.05278823476, -3063.3889107115488, -3039.944539048243, -3021.7773446523724, -3015.5123251535097, -2978.585460324665, -2961.280582022532, -2930.46129211682, -2905.3192621248104, -2887.3180120620177, -2860.2342065588273, -2854.303614823212, -2851.5679856845045, -2801.2050292524423, -2765.267475010169, -2726.3801182963434, -2722.775785298131, -2712.8129920321408, -2696.6605572885896, -2668.3860403604326, -2649.5186264855074, -2641.1839167093476, -2580.8956626459594, -2538.698994833135, -2520.462457663835, -2513.9056730235275, -2472.5322956168293, -2454.0580855689414, -2268.2416477172355, -2249.473952171485, -2247.820502606333, -2166.77661860848, -2072.3092618563514, -2069.519370607646, -2031.5040514151838, -2016.7975869771533, -1971.8912718827023, -1958.756993445986, -1942.3099661659458, -1899.2464254020292, -1876.7352463978611, -1847.6477055633927, -1820.1573510853575, -1812.4234262653495, -1812.3609458097496, -1795.8664029115166, -1757.6575081091144, -1750.413446736259, -1746.1273334712205, -1685.5075020192487, -1385.5604364009569, -1377.9197715678904, -1307.8192441444987, -1305.7602531358996, -1139.330889274724, -1055.7209279945237, -861.9220337737693, -847.9678382869922, -453.4760322484024, -433.4799057112566, -287.40799170418285, -193.17640196756003, -188.8639577005796, -38.727300474150326, 196.89814966758428, 357.7131212510369, 377.09236252591813, 378.815085209149, 694.7582817472653, 900.7153321706037, 1326.9527104300944]","[-12384.184320886281, -9895.834414153518, -9808.055346608415, -5101.456502703088, -4475.041964573703, -4345.0731374013, -4321.608865675228, -4268.602037926762, -4115.554285967383, -3884.087924198767, -3805.4148102335353, -3751.571633096484, -3619.3581100354645, -3580.8601603063307, -3498.964148353979, -3425.3567188247075, -3288.418288525258, -3180.593418427318, -3077.1483049285457, -2960.864703045304, -2877.412488347038, -2857.0051875459512, -2758.537726737549, -2747.0401389131953, -2734.9645661186073, -2304.2702106730994, -2142.8467301537235, -2001.4445464048115, -1944.904385289484, -1937.6464117508724, -1841.2545356840774, -1826.0071001421038, -1617.9741807430435, -1484.2169379312857, -1476.1341001321448, -1391.118493762096, -1385.0327137639206, -1353.37855295072, -1294.824063135392, -1243.5566805600404, -1214.8397747324989, -1127.4518322015952, -1054.542919791709, -1023.2238167818746, -915.5336947560911, -824.6029021140971, -804.4159513459546, -780.8186682265939, -658.437303838071, -602.2189019265286, -389.5818343001265, -323.8785974790686, -66.06891939933234, 187.01576087563757, 303.4340835830713, 304.8024465853877, 479.4743818642768, 1084.9615657267416, 1456.483894325486]",[],{}
1,departure,T3,15000,169,5,"[874.5295871575928, 4133.574397194007, 4290.557299910973, 5206.057917823495, 5372.6291076698735, 7171.941076569427, 7375.624356677859, 7426.1969524963515, 7486.62133449796, 7617.585009837348, 7951.998234523863, 8064.059312456774, 8084.2163661025825, 8103.0309543949525, 8105.305581983074, 8188.55864104981, 8327.837242691256, 8402.077714123425, 8485.37189883409, 8490.172880006221, 8510.112582515601, 8524.263755145852, 8830.001025718802, 9065.072466630061, 9099.10979902428, 9273.288269818435, 9284.065395003105, 9284.165086248475, 9423.724858566879, 9439.282539453605, 9476.960796317888, 9711.91923555458, 9788.550970736775, 9992.852288841654, 10048.141911810297, 10084.279947570667, 10190.632052642333, 10203.386048471739, 10253.328443331535, 10257.50893301161, 10273.38839949304, 10275.864690436221, 10333.166317285702, 10341.712489152458, 10367.963303505998, 10396.255449859338, 10436.947397748672, 10446.555494558817, 10494.953306377094, 10595.036632840294, 10632.563960420637, 10644.380680537715, 10662.155348426964, 10662.168375454008, 10666.275983196318, 10687.690644339926, 10696.50714533943, 10807.043822108946, 10887.974531162028, 10988.913716667745, 11047.927089500039, 11070.275173937149, 11109.94945274054, 11114.462086059673, 11179.10731410592, 11190.128375216804, 11221.038817465062, 11317.615773001688, 11414.76535080219, 11419.070701303142, 11525.300611765648, 11543.322044980836, 11550.810140046298, 11648.166726140946, 11723.90065962368, 11799.408613998556, 11825.785740029323, 11828.45120902978, 11875.024878582104, 11885.595964449129, 12006.144399851652, 12048.029096208711, 12081.008750332665, 12099.323512556211, 12141.760362700341, 12153.022668113434, 12171.69725003162, 12183.976879146323, 12237.112181911149, 12250.384391276031, 12312.645063169322, 12320.20292235737, 12418.613603477508, 12452.125934897394, 12687.31518949334, 12740.97326385417, 12757.313803817102, 12827.668090038673, 12844.432931312289, 12921.917477512543, 12980.915123003548, 13150.494501197109, 13246.494319422141, 13323.59304561098, 13390.427981653494, 13578.806791994146, 13623.106462487558, 13725.17014593845, 14060.589109130993, 14063.857720709655, 14172.79610538601, 14246.85533503627, 14294.960856483387, 14603.554677371201]","[3480.3863399429883, 5716.138609100412, 7019.7050306249075, 7279.348053739731, 7429.469090799288, 7887.378125443017, 8053.6968625535055, 8496.131238594266, 8731.992397143096, 8993.239551678998, 9123.362702624858, 9227.247447190824, 9552.643970483337, 9661.873081593763, 9691.177443917579, 9922.59762660138, 10101.216520844027, 10114.955405104043, 10169.22919984439, 10177.037796801338, 10254.673644039698, 10325.678265064393, 10650.477201495065, 10734.733485423005, 10797.52025831667, 10850.597450688547, 10878.072752121388, 10963.759025438647, 11006.405245447411, 11054.517552670659, 11168.429273481577, 11172.830418913823, 11517.260277331236, 11683.158903932006, 11933.640832918027, 11936.793979891054, 12180.118283845206, 12204.967282424244, 12365.8629572763, 12385.356631502591, 12446.744819819289, 12490.42485021622, 12607.608558467975, 12628.434238677433, 12768.76109009049, 12850.20148341371, 12871.075446490344, 12944.881049469985, 12966.718533212243, 13070.937290255122, 13630.228056285116, 13676.13232055227, 13821.290766477377, 14178.38772219038, 14865.41806721086]",[],{5: 5}
3,departure,T3,21000,202,0,"[7589.416624943987, 12602.76185958854, 12845.803639740865, 13421.498751592864, 13498.606656393866, 13659.295679734589, 13662.836889884793, 13676.158873535463, 13766.049393234136, 13833.691293188887, 13858.549738464417, 13888.772331098262, 14272.594626834727, 14579.839665573594, 14812.267499463072, 14831.417227460606, 14949.895314316162, 14955.710636789167, 15245.48027984063, 15404.776508303254, 15409.242785373679, 15433.874985024197, 15580.313212503024, 15640.813376003369, 15647.427267195426, 15660.911023392067, 15703.191255277472, 15725.221771410605, 15742.705855184695, 15831.41014973754, 15865.757773418301, 15891.512084089245, 15907.084455616372, 15929.819000716323, 15931.258777966748, 15940.817526930947, 15955.659877800776, 15979.455479879945, 15988.295515732476, 16012.901084289566, 16090.60887081282, 16178.078684976723, 16215.373672148955, 16223.895084409183, 16292.45648715196, 16311.165623511864, 16349.035761931274, 16392.30284092758, 16405.926265809805, 16414.053619489303, 16443.490559743972, 16514.043465801056, 16521.740862933613, 16602.615539279708, 16648.375147890856, 16654.09393739235, 16672.39540166967, 16692.137315265, 16710.011561525254, 16762.613108115045, 16782.435319866785, 16793.812303771203, 16796.484306495408, 16819.001233552633, 16845.333182289025, 16847.582226062517, 16855.90152624259, 16874.82066320793, 16896.225182852824, 17021.560160552082, 17102.04749641426, 17108.19710335098, 17129.072220178958, 17141.889439668816, 17161.865116799338, 17214.587548482374, 17224.10050995176, 17232.82792954459, 17238.167886731142, 17303.197224230724, 17312.62131725712, 17318.673836187503, 17321.432049945695, 17342.987661676343, 17354.56439377738, 17447.443769490143, 17479.985213578613, 17511.926842617955, 17586.387972108147, 17603.346416895354, 17623.00934519053, 17635.04232189385, 17635.832116711263, 17656.38992699012, 17659.814697373706, 17697.140784716874, 17712.817395205813, 17753.042185662067, 17787.829638406, 17795.750345089793, 17821.822837130894, 17826.579363745266, 17840.70388869334, 17847.437432794322, 17849.854934118393, 17896.3066950467, 17924.976194431103, 17994.46297931339, 17994.730584119003, 18061.556120207766, 18147.631013997972, 18193.71278444531, 18251.441069399996, 18285.86517402043, 18295.67403146337, 18311.06281576968, 18391.104374264123, 18491.801803720184, 18509.216664111063, 18517.789225486482, 18528.761335492265, 18635.601809389613, 18661.85077750064, 18675.790613301913, 18691.721679171394, 18734.323339498933, 18950.238879880217, 18972.018425671024, 18983.008424571854, 19018.225017521494, 19071.57422992479, 19165.102488697314, 19301.371846152117, 19337.658345739743, 19444.155443588224, 19925.901340710112, 20153.87904951093, 20602.884733750878]","[11702.641624218255, 12490.46640755038, 13523.773497212274, 13908.195499504174, 14115.177604687216, 14183.292525709801, 14259.855185703962, 14405.071028976181, 14632.846440834157, 14769.743666856184, 14942.898101738097, 14998.141181021041, 15034.354650801677, 15229.339836724583, 15314.981616913637, 15514.249590445237, 15647.57916494183, 15662.210006667498, 15675.55999597822, 15687.575145903164, 15814.494728861733, 15842.772592382207, 15901.832600412603, 16064.611631380676, 16088.83927584229, 16222.86483409763, 16289.782585280807, 16540.19555859491, 16829.636117019018, 16917.740581564063, 16988.9385489957, 17043.290040981785, 17046.096922810983, 17061.836444886227, 17257.10752271668, 17336.09420801869, 17383.760743299492, 17457.693882959782, 17467.352535288534, 17569.18883781316, 17584.44589357681, 17751.842123649025, 17755.393661201808, 17845.17487315024, 17958.395215557888, 18018.333550768846, 18130.636341737325, 18153.85131141239, 18222.901978342783, 18233.27846574428, 18270.267997628907, 18459.525914260812, 18606.6935407685, 18632.288681316666, 18657.418339697793, 18684.441928289634, 18790.02389556935, 18833.804234650503, 18968.48543720392, 19011.48410308348, 19196.31629262111, 19201.868562240597, 19613.190202263726, 20362.959130843672]",[],{}
4,departure,T3,32700,21,0,"[22780.862844583236, 26376.406301451, 27391.44773444405, 27548.495837951843, 27568.714641520903, 27605.215283290978, 27688.355344164433, 28889.035936438773, 29256.085017448986, 30698.539768445586, 30741.57044451182, 31020.849983307868, 31328.986302687317, 31800.187303048446]","[22667.676619558322, 27813.01005986197, 28325.80264266481, 28594.83612112258, 28676.791563476687]","[28620, 28620]",{}
7,departure,T2E,28800,132,152,"[17230.229502042126, 18076.870623566712, 18886.605126057108, 19323.661415253624, 19606.323493728465, 19723.716493783115, 20140.166089972652, 21305.975160924958, 21532.432931021616, 21613.384825502584, 21748.950181500968, 21877.45969773325, 22155.471218934872, 22230.91363207994, 22370.973097491922, 22631.92209390544, 22672.745404114146, 22714.086798687, 22881.601746815355, 22966.01152549729, 23109.05272921829, 23174.775807039623, 23331.957515527374, 23360.38481430907, 23495.230056018925, 23523.432465306036, 23626.701584557777, 23658.32525565152, 23764.100759344405, 23841.80752765442, 23888.77772692863, 23930.72660097341, 24113.59647220799, 24141.565278157785, 24145.636946557475, 24205.51600517124, 24210.153607729513, 24215.59789990413, 24324.567226176754, 24337.81519197479, 24364.25379500246, 24410.36730960799, 24463.317033956755, 24532.931938560672, 24545.51544124559, 24548.990846207504, 24554.235645500325, 24587.384214569647, 24684.491066059567, 24692.06068414163, 24792.217060833515, 24818.460901092993, 24825.537215879067, 24973.465848835494, 24980.724002820436, 25002.558130652462, 25025.173482181595, 25056.624764052172, 25077.168140251793, 25080.78823284434, 25130.192517373052, 25188.1513199497, 25212.396803982985, 25338.261253276338, 25353.579709672147, 25364.109953240582, 25428.235783542143, 25460.655968034316, 25466.369308427722, 25477.8540051459, 25684.655418627757, 25704.032831748744, 25956.002562455455, 25989.36208722246, 26113.30433284904, 26338.272472850487, 26479.506171134795, 26486.838339509886, 26538.5151645093, 26704.824805233722, 26787.32511845581, 26808.251811420694, 26836.644747734692, 26898.36631110095, 26942.113362110904, 27072.512733222895, 27462.71567089855, 27720.003711581274, 28378.143436010654]","[19275.93187260005, 19513.620877958736, 20076.66889964644, 20181.967537420547, 21147.127928086087, 21631.928237325526, 21863.060487996612, 21968.926640360765, 22284.50261117572, 22335.76327075012, 22418.383196379054, 22421.594819997936, 22494.31801515965, 22671.311534076132, 22790.31013738122, 22862.44764197924, 22947.51408191125, 23061.008088747396, 23110.6226470382, 23349.22401017834, 23419.952004362658, 23463.505508692215, 23735.05098145451, 23933.386684822977, 24332.194590339444, 24342.004668245732, 24464.67856334941, 24797.50874952036, 24816.138854397854, 25051.518760502368, 25147.277201372362, 25260.802085989297, 25465.79364038512, 25995.967196351525, 26006.97936179049, 26071.923674095793, 26437.336232871716, 26958.40941669852, 27151.669161870013, 27164.776269588787, 27365.930408995857, 27488.04891603956, 28313.970270700844]",[],"{37: 43, 74: 42, 84: 19, 96: 8, 101: 17, 102: 23}"
8,departure,T3,36600,88,2,"[22082.04011958598, 22888.569681356857, 23616.045524668283, 24270.41907489354, 25337.134737869976, 27347.109371261133, 27441.474988626156, 27513.873729710525, 28015.05818608249, 28446.428418395877, 28467.227371600136, 28476.4032866635, 28544.957857618625, 28630.767138264717, 28706.111763202967, 28774.982306590635, 29313.5316671322, 29369.599170390185, 29648.151442302944, 29749.0707193812, 29913.397200109826, 30862.282016401427, 30975.048618439192, 31087.03440506613, 31179.24317384996, 31237.83063185636, 31501.65824402899, 31588.8586704167, 31625.99632069185, 31699.436833693722, 31728.911152765217, 31734.66627439431, 31745.85985503229, 31807.480706188886, 31830.116969396964, 32068.870049487883, 32116.076979960977, 32395.876968148783, 32606.949169031715, 32973.95669473428, 33143.37213134565, 33345.0439896762, 33423.2725497338, 33581.61454750067, 34133.44093508156, 34300.12580076115, 34453.89880359434, 34515.87452691023, 34553.601540443444, 34648.621901510596, 34853.25831576027, 35152.44316755378, 35382.41444556015, 35383.453399606355, 37405.30440628254]","[24890.431286865554, 28778.72923495742, 29134.202507762664, 29464.577345116348, 29560.52086849645, 29797.220630405864, 30008.152495917282, 30164.341076174762, 30285.861393260097, 30547.49221825284, 30548.08081002944, 31054.760468316592, 31152.9948761282, 31858.870542046916, 32049.71446665895, 34356.03099978514, 34411.97878892656, 34623.58432962653, 34741.29697120413, 35262.08857467793, 35976.915171089, 35979.85123867099, 37036.41240735979]","[28620, 28620, 28620, 28620, 30240, 33060, 33360, 33360, 33660, 33660]",{208: 2}
9,departure,T2E,25800,31,33,"[18067.717583601083, 18343.90196262335, 18734.17880473266, 19172.67567553051, 19248.93288416008, 19373.345045886923, 20019.318143216216, 20284.087477521065, 20349.2662595505, 20375.103971740835, 20428.947765561115, 20581.81108137534, 22238.627557720654, 22277.553981491787, 22400.347770402434, 22532.263156092802, 22553.4161471221, 22744.547534689016, 23165.820103414982, 23227.07877655604, 23666.354256928294, 24047.89744455057]","[20134.574764504916, 21248.06142841495, 21318.56836181172, 21336.491277412435, 21479.780890646885, 21498.916482348603, 22077.411300985794, 22735.58977184406, 23232.244069591627]",[],"{14: 1, 17: 1, 18: 1, 19: 3, 21: 3, 23: 4, 24: 2, 25: 1, 26: 4, 27: 2, 28: 1, 30: 1, 32: 2, 35: 3, 43: 2, 45: 2}"
10,departure,T3,18900,173,0,"[7019.0564422625375, 9735.35951188988, 9754.664597547911, 10373.31145846249, 10739.192310343182, 10780.794869375333, 10873.753989299248, 10928.902700039258, 11515.966394243382, 11631.64429735339, 11706.840429080477, 11744.197170755242, 11787.478158959326, 11792.360325937289, 12104.481394355207, 12133.700095687856, 12174.273404748135, 12435.44021874291, 12469.328578025716, 12501.0512488758, 12517.405263406536, 12584.330634362752, 12774.994893576379, 12785.130713511999, 12882.107308987612, 12892.690889732407, 13140.448072252662, 13337.907189985886, 13338.834980384976, 13339.87717580135, 13467.394929401715, 13497.292301081752, 13531.584458773335, 13598.93341048641, 13632.960565308056, 13688.254983009541, 13709.26800133882, 13821.417170959747, 13854.351874253143, 13861.984832173883, 13862.59789240366, 14212.77283889016, 14242.17424018389, 14369.902468110373, 14407.758714814105, 14553.726823681875, 14584.4937368809, 14658.881703993837, 14689.94623260676, 14691.078005152567, 14750.758868037778, 14758.555433800286, 14759.95455880538, 14762.871232695894, 14829.81106092279, 14842.921958116991, 14852.654155593686, 14873.17103030545, 14977.627056456276, 14993.775770501214, 15009.798236665929, 15075.81069859813, 15083.074650897526, 15150.17697084991, 15153.55880083568, 15221.085369854185, 15227.907969322298, 15236.943013788608, 15237.41833796169, 15316.946453701006, 15342.569480268958, 15413.390883314567, 15414.967576856618, 15562.889235244795, 15586.5164429475, 15598.686307596681, 15627.604934185181, 15765.974557739453, 15784.868452531464, 15788.820772896801, 15802.412815790067, 15804.467058912913, 15830.258265478304, 15838.748044670496, 15843.294750586354, 15884.603613110385, 15886.410517379014, 15972.504044365389, 15987.602205045947, 16031.377153001416, 16173.141771317989, 16191.761273287892, 16191.863633909426, 16327.47717746366, 16344.851441217199, 16402.898868299017, 16432.40040819501, 16533.482569677457, 16673.590094268387, 16811.435720012967, 16898.95391621424, 16939.87747976131, 16998.989067593157, 17010.14365270446, 17083.112434019687, 17169.259558560996, 17239.175902117247, 17372.867873686595, 17759.841086508382, 17815.847159272667, 17889.679417164836, 17916.35412333702, 18129.351371611458, 18222.962325099266, 18819.048298790003]","[10710.318883097743, 11232.37592100564, 11475.31006227817, 11886.383764123875, 12080.652300995478, 12154.825336208574, 12221.167719806343, 12558.567625799431, 12965.866164798648, 13276.96713143045, 13314.151956140564, 13559.878690477439, 13985.019333563047, 14050.24469521521, 14063.015939316621, 14098.887378373618, 14160.527869703728, 14209.543882380294, 14320.299631309907, 14463.608190627241, 14542.180612100641, 14622.120980557704, 14705.641949761413, 14756.62162080065, 14757.194809039449, 14841.73456899681, 14842.155360782514, 15006.516710082658, 15034.92515940624, 15136.92833274162, 15175.71272300389, 15204.382137616647, 15460.200484012468, 15531.916236170802, 15878.64339298199, 15886.98508312483, 16000.100339488055, 16085.42658988172, 16187.13805169984, 16220.141669715684, 16289.534364509802, 16382.274929846242, 16452.521426027673, 16456.98566642969, 16534.90119699197, 16678.418150448077, 16919.800944454448, 16936.689084797985, 17142.32408964166, 17279.887483484956, 17284.85828520036, 17312.64509234324, 17321.12790862961, 17395.577019937224, 17407.17291025698, 17700.69859398421, 17789.30053417035, 18530.335671769608]",[],{}
11,departure,T2D,19800,156,0,"[4174.998108985254, 9165.070334474642, 10058.929657383153, 10454.318966841114, 11682.140692448922, 12289.466090803027, 12382.82253505854, 12776.302609525843, 13151.4042242765, 13231.824109886818, 13250.686211086417, 13282.282747724492, 13670.985445971555, 13762.445301717515, 13814.232112480913, 13867.927306731026, 14011.918028619408, 14119.595296112999, 14174.231653006138, 14185.360411145586, 14205.523654571525, 14232.554750863766, 14337.06415560631, 14374.983561883635, 14433.786979019149, 14434.03528631128, 14534.901437374929, 14567.869301602961, 14573.17756682297, 14586.277194594768, 14742.806976128271, 14755.461711727747, 14787.852043816638, 14847.744460289237, 15009.1775055238, 15068.464145371589, 15089.194007660568, 15132.472087125514, 15173.376382289503, 15183.03049288518, 15255.53810820686, 15260.169853623604, 15303.518334768898, 15314.016978209344, 15355.487076768857, 15360.754409942987, 15362.438101910815, 15497.298466983413, 15499.174472266292, 15559.196906943474, 15567.20992275795, 15602.60144197916, 15605.156781931108, 15727.5752432941, 15736.826169938544, 15740.433317361565, 15827.53210851883, 15879.913208684176, 15881.81962700284, 15885.48814109307, 15932.130099790156, 16068.205207374476, 16077.501127829048, 16113.519192102505, 16113.771993240023, 16158.593803546284, 16172.019321276648, 16214.63393516278, 16253.617314363379, 16283.420796391554, 16335.556596578115, 16351.952954225533, 16386.37667976743, 16452.763722588763, 16475.53741549096, 16480.367177484215, 16551.061306737058, 16560.028051720463, 16580.783179841037, 16657.13402584241, 16701.749195340228, 16913.970158592645, 16935.942722532887, 16988.329715259904, 17108.843744644273, 17124.817869238228, 17126.992981763095, 17149.367512178018, 17213.187762352674, 17232.755192836823, 17287.44901986665, 17367.980266614046, 17382.09370097736, 17608.028173891853, 17706.254402623905, 17856.36938047777, 18144.218125054205, 18173.885736681725, 18183.08228245646, 18318.546622107744, 18426.427469463884, 18432.391196482135, 18443.109224290325, 19317.580682280382, 21666.820329461203]","[10361.138255322789, 11417.507178979167, 11443.812847935553, 11815.15503993214, 12382.52272902715, 12432.932800846766, 12575.35608119851, 12626.806937525611, 12840.236835448053, 13253.028477843705, 13545.209520318205, 13774.379362640751, 13816.597590206617, 14097.061390177509, 14268.026417144036, 14405.745498852364, 14510.101527059913, 14540.618584840313, 14565.888135488945, 14841.894374199024, 15012.398535287297, 15076.479517850963, 15173.822524420377, 15332.170394369423, 15500.160978515185, 15519.063660010928, 15578.661344793778, 15619.636731633853, 15631.514764762127, 15657.492507498011, 15663.694271581604, 15673.515425198599, 15680.15135607344, 15688.550737019012, 15773.738190521119, 15851.828277550012, 16172.335913327368, 16460.57226203459, 16623.34876673852, 16677.47938733181, 16835.584208138658, 16944.110978148266, 17550.895554318435, 17634.072523280636, 17762.00222912842, 18227.32592476216, 18283.454244952776, 18448.930971480855, 18454.55612281475, 18660.092994207676, 18731.831000306724]",[],{}
13,departure,T2E,54600,134,152,"[30336.814478241646, 37379.06304933283, 37685.557162697725, 39385.985768944454, 39486.18464416545, 39690.92652553208, 40904.50579409683, 41008.38816734223, 41729.98024359426, 41889.63583695602, 42719.847079339415, 43189.274280912745, 43743.46638236831, 43795.133613622784, 43847.1731335409, 43991.34557527935, 44155.56208105097, 44460.712680022516, 45338.235446240426, 45351.74872134418, 45366.08582971853, 45694.63906948976, 45829.02307191657, 45908.18982928801, 46047.020819466445, 46196.230376916195, 46202.13020538475, 46326.07677757706, 46487.04430002979, 46488.6887859306, 46857.105340475806, 46963.35532236466, 47098.10781691972, 47174.65078920093, 47379.47562311936, 47419.532973666894, 47423.587148841296, 47447.609097544046, 47724.12988293963, 47880.44451142223, 47930.89556251037, 48242.120959646534, 48289.322787847275, 48342.3230076479, 48351.22741676372, 48479.11617396166, 48501.4657525811, 48664.666851429196, 48843.34442851623, 48889.84217026353, 48902.306377619265, 49146.92268062385, 49189.593068974435, 49341.29388329132, 49469.42956005577, 49705.93867166568, 49992.60370198622, 50151.281306125034, 50305.47221371411, 50410.00785970563, 50431.68937112839, 50484.196311048894, 50492.89744350816, 50656.9598252027, 50669.389288394974, 50726.55118393662, 50793.128256765274, 50830.45221795707, 50986.43441833073, 51126.76058275122, 51393.73175553804, 51558.82974531471, 51769.72250060672, 52003.43648891327, 52058.014825631486, 52059.34209263855, 52229.416472456614, 52936.03988118131, 53143.535967701, 53799.46263435764, 53955.50105422002, 54466.96803458341, 55305.93068648177]","[31727.506218584538, 35663.80181858693, 37920.02612261762, 39031.98920398319, 39861.34711521276, 41810.20301910099, 41934.45600107438, 42486.1198823282, 44160.484575739436, 45059.410706141716, 45297.181975997075, 45775.71099081081, 45778.775379876526, 45981.235432966125, 46445.79235489226, 47246.2656347017, 47318.044544005636, 47383.8068633238, 48129.86290486841, 48410.565780120225, 48512.54534319432, 48960.82354251907, 49042.59868422101, 50196.76394803835, 50228.60227039187, 50593.12048222898, 50750.96297453587, 50936.39648366006, 51120.230121675384, 51214.234862768455, 51301.91607759292, 51616.95332297749, 52101.79160372032, 53082.393052109335, 53130.68559853818, 53282.40286014139, 53426.25897286384]","[44280, 44280, 44880, 44880, 44880, 46260, 46620, 47460, 49560, 49560, 49560, 49740, 52560, 52560]","{390: 8, 399: 7, 400: 6, 402: 1, 405: 8, 407: 1, 410: 2, 411: 1, 412: 8, 419: 9, 420: 8, 421: 1, 423: 9, 433: 5, 436: 1, 438: 8, 439: 8, 440: 13, 441: 1, 442: 15, 444: 4, 446: 5, 451: 6, 452: 10, 458: 7}"
