INDEX,TYPE_AD,TERMINAL,OFF_BLOCK_TIME,NB_PAX_GROUND,NB_PAX_AIR,FROM_ROAD,FROM_SUBWAY,FROM_TRAIN,FROM_AIR
0,departure,T3,1500,165,0,"[-8600.387547325387, -8382.103179079078, -8336.845811051131, -8304.248986432758, -8014.9180250338195, -6858.630509490046, -6077.842134791612, -6008.69936082144, -6001.424028945026, -5769.820180994398, -5688.029285842754, -5556.739844622242, -5490.214329428223, -5446.016036554959, -5424.410186430907, -5276.815136198987, -4830.765100389736, -4737.304699994292, -4668.143967550443, -4505.803053309218, -4456.36229148027, -4430.859852817105, -4371.986881066376, -4317.792240812876, -4181.620091162293, -4122.3903984316985, -3986.1184520901925, -3936.4098791486786, -3887.6351092558803, -3825.1495038856233, -3796.8123056504505, -3796.376551843122, -3770.5697800426015, -3680.277165892638, -3628.8401617399563, -3609.605374107702, -3551.7322999454796, -3547.8881509467246, -3464.0203204275203, -3457.939736159562, -3439.0434026223384, -3404.4529094506906, -3398.837363552755, -3351.8314588938592, -3283.5495891678224, -3276.843237060789, -3095.827673819547, -3015.8170460799092, -2985.6855695297363, -2933.40510179394, -2926.2711403716153, -2860.2235540251613, -2831.285589633935, -2808.1438123931184, -2798.2709497877004, -2738.33509911381, -2681.6216810583574, -2635.330254792803, -2623.4586986955833, -2611.4060994193774, -2605.743485683354, -2528.6075359950464, -2457.6393215387193, -2279.8902064415615, -2258.5455659900927, -2182.475236288569, -2162.3066490178717, -2079.179812390318, -2078.0672232692323, -2012.805446491657, -1996.2143096768882, -1990.4766159476478, -1926.258708953151, -1869.9906995612162, -1865.2634393183503, -1863.3884585921248, -1797.1115895869364, -1714.2246265596136, -1636.811548217535, -1621.827539713894, -1589.3053169722357, -1522.1278184995815, -1512.5256452574858, -1506.645954283413, -1358.8551911596576, -1321.5443554152105, -1317.8237092158943, -1270.780255980697, -1248.0685166910278, -1217.9147524231405, -1189.0276594849793, -1145.665333759756, -1090.428906029102, -1085.9168244306552, -1073.7778041528545, -1009.57913455414, -1005.3628446369057, -992.7531610694654, -958.3762191613447, -930.887078486803, -846.0809549680413, -720.1106766278475, -601.2547710603998, -528.1391061766719, -434.5264593988635, -387.55825743613616, -379.73260848721367, -297.13642261126995, -269.9901759728837, -250.3137639530553, -182.80174202914452, 1640.6494717071648, 1678.2579701098216]","[-7242.19271041722, -7028.418244218116, -6739.4231494160285, -6662.241747829337, -6478.132906106241, -6281.722198718979, -5352.770232723693, -4587.031163138311, -4375.445854973069, -4287.1490039086575, -4282.0570262199735, -4221.273331270297, -4219.203394885865, -4189.297576213528, -4140.48374222749, -3846.0180562053183, -3651.584689574135, -3615.9531389405915, -3550.8720996583825, -3445.301613228496, -3427.671207827912, -3375.2239790985077, -3329.4426078651245, -3305.4790489836228, -3167.077456888248, -3033.2683465455066, -2990.6798257321925, -2908.4039531748153, -2880.0835342457885, -2797.1483857740686, -2738.678875989315, -2697.915426738444, -2647.6100012755787, -2514.2476390966913, -2171.6134213678333, -2086.4891854222255, -1849.8912521335506, -1811.7065819434677, -1731.8235365657688, -1671.6542898675748, -1630.2465625121931, -1624.7881066201564, -1445.6842644600351, -1283.4871123027715, -1240.9079569846574, -980.0281796922122, -610.3155475905579, -483.4679336578448, -409.7136350759479, 219.84541669720477, 1275.065277423109, 1691.3281981006787]",[],{}
1,departure,T3,15000,174,5,"[4831.642330118136, 5792.7957761360685, 5902.614145135387, 6389.185668860264, 6926.199315694355, 7160.367473130129, 7192.12258774142, 7401.767133393714, 7814.143544935108, 7939.708466110504, 8128.578139204608, 8179.449738339373, 8215.77837057638, 8235.978522985251, 8264.372082279215, 8289.830534902578, 8589.468811935114, 8625.328035407463, 8949.59646420576, 9049.488575680314, 9149.483075284441, 9281.625842601978, 9369.903963365887, 9430.986565138837, 9621.252593356734, 9859.153038015389, 9947.715589429317, 9989.263435344094, 10025.838939478177, 10082.193826721239, 10093.51988698221, 10135.217866781404, 10157.048401795655, 10173.423255793266, 10228.271162048262, 10266.53426828073, 10299.718883971045, 10373.590211329263, 10401.707803824876, 10415.180810398699, 10469.565999304763, 10471.052321732808, 10471.742122471001, 10485.521367101053, 10486.83235335582, 10535.590624071438, 10580.47895245646, 10663.034553208621, 10672.540744977967, 10688.362182907833, 10691.573828849709, 10701.292714290925, 10736.5814414341, 10791.068256378823, 10845.49016039173, 10878.553786358636, 10890.514781099815, 10918.985144868362, 10946.94771108348, 10956.155592018278, 10993.571305745825, 11017.862077438045, 11071.90324619167, 11147.094288622677, 11148.9708812023, 11156.652686817393, 11243.843006557305, 11274.438620316665, 11298.939070304292, 11377.150929681966, 11412.118187945032, 11454.172963752151, 11467.068491640952, 11541.16017926731, 11550.804054015804, 11572.333721063034, 11578.169872185492, 11591.776293758048, 11608.568224089371, 11631.552597546679, 11688.040177563707, 11699.178070888018, 11721.066784133947, 11795.368409167088, 11799.70781156088, 11881.187975952578, 12021.619465198371, 12027.225266815629, 12033.420779386292, 12069.971556316981, 12085.85129053843, 12146.584519245604, 12150.051035602393, 12169.11610348789, 12183.415626603715, 12209.282869122697, 12606.814412158683, 12623.312787624318, 12758.96773138037, 12802.364948567718, 12855.712922021592, 12880.44153379986, 12955.441402817929, 13009.07503869222, 13104.022981904585, 13348.121370023679, 13410.499971759924, 13508.152863810188, 13551.50733212247, 13586.374325415407, 13661.509663501278, 13873.845667711897, 13898.28080857876, 14134.03094612942, 14137.19857405675, 14195.59717812689]","[7053.631067360379, 7295.689124533972, 7479.691986747215, 7675.623472327758, 7747.676516205628, 8110.577204475333, 8544.167466567611, 8554.584959009757, 8960.928550957055, 9071.954511445654, 9281.27335626333, 9314.532949683688, 9398.793302657234, 9430.697119086552, 9534.139817261024, 9803.631717978089, 9853.144658056783, 9868.752821203132, 10101.178306713591, 10206.825434386888, 10216.490373704653, 10478.279672501549, 10485.815768170702, 10628.132686388533, 10659.517046928204, 10663.194647462897, 10713.430981352287, 10730.622311264724, 10775.021804744376, 10785.4453047604, 10847.692619315985, 10892.106052649462, 10931.546303167437, 10982.001441392764, 11046.992521339354, 11216.609104002575, 11373.368267396309, 11453.733623258397, 11499.185029039763, 11787.6370242804, 11837.841543031216, 11867.781364519598, 11957.65256634254, 12133.910919867774, 12179.18836289036, 12199.887939402804, 12205.817862258353, 12312.6974302479, 12551.170775296112, 12555.329688311613, 12720.743866146644, 12827.931776379277, 12876.298364385713, 13125.022538581572, 13162.399872655425, 13338.975882296458, 14204.42066568368, 14435.35592540174]",[],{5: 5}
3,departure,T3,21000,181,0,"[10837.628317814797, 11420.081845832074, 12311.473497644041, 12630.689931967838, 12634.801541418023, 12843.839656516353, 13125.06305872014, 13542.521098316629, 14007.286858818186, 14124.152835798719, 14199.087736919015, 14226.986044772762, 14331.865267707179, 14504.608354077376, 14549.617761596077, 14569.55944010443, 14713.513159622744, 14787.351216962368, 14968.507856523618, 15041.111437754667, 15046.520970605126, 15104.708438900763, 15210.49161404928, 15212.00992733966, 15235.622890103006, 15344.690125463334, 15374.731108475344, 15523.030464139516, 15569.246931080468, 15608.564091845954, 15615.638462225705, 15898.19734570943, 15931.21460997266, 15937.24320706794, 15963.619666930466, 15998.496148484577, 16079.8937252676, 16085.367015122632, 16232.197046048741, 16300.529115014086, 16346.099262033285, 16357.167491713604, 16357.217564317769, 16407.44452460639, 16463.728853643755, 16502.11667261193, 16686.844999061126, 16707.10750613398, 16717.128164618713, 16744.327944573473, 16791.785925311364, 16798.257171746598, 16812.512347420445, 16865.502654377447, 16887.698033432014, 16951.95342582379, 16966.181097406687, 16990.381748666252, 16995.91183056307, 17043.413333775105, 17047.786556460178, 17060.258548104186, 17084.826951137216, 17148.197383289265, 17166.255254807336, 17209.38283148487, 17227.32332590408, 17234.884618165852, 17338.08057359748, 17386.21339481334, 17415.01533321656, 17487.326822800165, 17514.510688015358, 17531.034490196384, 17609.553233269013, 17612.037402761485, 17750.7122832772, 17781.201858954704, 17834.024887237003, 17852.09592642437, 17855.71416734001, 17907.951912503726, 17915.72085376444, 18049.206755312247, 18049.670864824624, 18090.160600473235, 18132.90777899164, 18152.223301775422, 18176.6343849247, 18230.396897901406, 18242.361050944884, 18263.181568023945, 18282.214843619236, 18297.87576381329, 18371.410769981656, 18406.39755908161, 18422.69303610174, 18463.91779545197, 18483.67692909694, 18542.028549801504, 18560.704794945726, 18566.221410079794, 18622.267149911426, 18644.558863580405, 18694.977958562282, 18701.8500414339, 18710.797565171564, 19044.712915890654, 19118.528857503385, 19144.16449009886, 19176.26762312722, 19235.20283820719, 19250.18474311022, 19445.141239616074, 19546.214904260374, 19590.177499831872, 19617.46910648334, 19687.61591916612, 19722.222310631936, 19754.791922954544, 19787.527751011068, 20144.581064550683, 20308.34285630664, 20675.595747863164]","[6621.950525707893, 12163.228405654758, 12659.877427619122, 14336.308639794832, 14754.498334006308, 15130.452690983353, 15486.017843492713, 15531.178567197745, 15704.019787704208, 15756.748945913403, 15762.17253166971, 15906.173279844945, 15930.559463674845, 15963.419811263484, 16073.460437961532, 16132.126582019902, 16238.559525614599, 16286.77698588641, 16311.387806318042, 16352.464262248597, 16394.590105004456, 16423.54267449506, 16578.368314472587, 16583.536328792106, 16849.357096850785, 16898.160079284513, 16917.54883718096, 17015.04177843615, 17055.195947127824, 17086.29497355579, 17094.267897944814, 17181.35938638871, 17222.182912968354, 17245.076946924684, 17611.587984135782, 17631.398065851794, 17652.336771649178, 17947.579338863907, 18016.22880584061, 18040.765464420994, 18041.937952665852, 18294.03451348541, 18331.933035495567, 18390.39508295386, 18502.21116406423, 18564.410297492548, 18572.409501261885, 18627.17921719569, 18909.121544187536, 18979.630071927095, 19105.166922998207, 19523.300776820968, 19598.803529976478, 19675.842870085307, 19777.799143363958, 20071.328383891363, 20780.88406233037]",[],{}
4,departure,T3,32700,27,0,"[21580.816729273633, 21924.297681599794, 22672.441916565982, 26039.064293212643, 26660.165052761076, 27004.70566215917, 27224.64430939412, 27303.402337138104, 28385.87850113518, 28970.084267813596, 29274.417854119936, 29509.99980839064, 29844.414067598354, 29963.724124052904, 30227.25270322996, 31297.199396859054, 32293.899470503296]","[29348.78007349021, 30037.432747525723, 30168.21837269678, 30218.527512009416, 30238.667736762505, 31658.345900363813, 33564.07669355609]","[28620, 28620, 28860]",{}
7,departure,T2E,28800,145,145,"[17425.339856365677, 19317.501443915142, 19337.104955439016, 20308.909030191036, 20312.9683468034, 20540.38666678759, 20782.24475462628, 20997.73654315569, 21093.988187197596, 21204.927062179217, 21300.570721176486, 21840.220066055805, 22185.450994545597, 22216.2041279289, 22320.81548273487, 22362.947541995767, 22379.74548656161, 22440.670165282347, 22563.14368549366, 22627.52989669379, 22651.39383175973, 22971.264810063694, 22976.892837572803, 23038.21650928642, 23069.62563486567, 23086.732242505936, 23144.68554707435, 23252.113986297514, 23273.3902970994, 23342.208900116457, 23359.13984998297, 23377.822824699837, 23386.45717437894, 23398.086604873894, 23414.50986123088, 23427.91756816897, 23520.10266427552, 23654.696227111966, 23758.55132747298, 23765.471769072992, 23809.460517895794, 24039.37277057741, 24126.60338048929, 24178.989575568554, 24213.857732913515, 24246.547916265437, 24262.224861570092, 24330.18821468545, 24381.63098463168, 24471.435861864935, 24524.71289351513, 24526.739596271793, 24537.10304316977, 24540.326257998793, 24559.462479658865, 24559.532626753382, 24783.392154183908, 24851.16411615806, 24863.922861780164, 24922.87104418123, 24939.614518308088, 24969.234889109528, 24994.488134048606, 25044.342164361144, 25077.78448051908, 25314.66917042004, 25361.894031078406, 25440.20557762167, 25499.27733213773, 25503.527426161112, 25513.881146244014, 25542.020600468775, 25559.82951036569, 25566.199471200474, 25568.882780286, 25598.66765313185, 25657.950869726887, 25774.672411490134, 25799.24148191058, 25841.856227637738, 26034.625451468622, 26195.364549984723, 26247.99798018423, 26256.556462438835, 26303.63710414279, 26527.719232712025, 26579.297078301355, 26581.84060901086, 26650.146207593894, 26689.847538614333, 26733.4568565838, 26796.903042099922, 27111.15123409851, 27135.599384567147, 27147.367919855904, 27308.07450564524, 27528.23271722895, 28046.9799747454, 28215.974072530367, 29724.18397766328]","[20264.760396365786, 21454.011338426848, 21485.981908100966, 21835.586504795665, 22365.96040641739, 22709.833802389836, 22846.45967823531, 22847.5579134707, 22943.053395336054, 23032.175666407293, 23097.225877005043, 23115.80709138013, 23517.31980484833, 23740.153900763606, 23765.451832233644, 23862.686606891068, 24029.993092891425, 24072.556471661293, 24145.86298487697, 24198.161234418025, 24231.705192997484, 24357.54571960878, 24383.42969974269, 24478.378196723665, 24768.32586786606, 25017.99840503303, 25075.657966012153, 27155.79894286987, 27180.949001531608, 27239.20872618395, 27604.773604765796, 27638.830679641476, 27861.22120760923, 27861.843607743358, 27966.247311607556, 28085.53113246129, 28204.144670663183, 28302.29277348335, 28810.944262358822, 28943.82487026262, 29082.72817831044, 29084.018002382, 29300.73610225761, 29326.522444033857, 29677.350525358568]",[],"{37: 42, 74: 39, 84: 15, 96: 23, 101: 15, 102: 11}"
8,departure,T3,36600,79,2,"[18172.739781014356, 21788.19133357789, 23391.87120796353, 24108.067158237638, 24922.04162966655, 26215.77868018338, 27443.6341872279, 27933.31766697774, 27935.685982210372, 28427.812301940794, 28652.825905010282, 28694.259038282333, 28905.850948408686, 29142.839292578654, 29167.40010227289, 29602.421402013635, 29618.03348774304, 29822.820247186028, 30183.532608557096, 30243.64871722519, 30293.554059444712, 30397.256795832676, 30573.04333813967, 30815.896634689718, 30830.663382836156, 30929.57040566904, 31010.879961710252, 31341.032994469846, 31384.327947421694, 31671.883851163402, 31845.65887853113, 31874.78906070015, 31892.407063764796, 31951.87787548558, 32158.55812711056, 32485.35508536321, 32734.589630352388, 33034.86316461803, 33339.30496207917, 33514.68426647499, 33780.04966189046, 34075.56705169945, 34241.613897844174, 34342.08009231936, 34542.52602383685, 34955.67677857695, 35677.852177814886, 36205.29727980052]","[23238.66304477988, 28389.23352488023, 28886.19753180288, 29011.122836206865, 30257.301790248493, 30437.422925509632, 30627.82261921808, 30773.55301355978, 30867.90690732549, 31898.450581268105, 32310.44448819889, 32895.80035643296, 33730.541901456876, 34098.592584107915, 34397.88060353966, 34555.41799755707, 34941.5094042919, 35136.73284478238, 35874.695220058624, 36377.91124561527, 36517.92957819494, 38894.88109809608]","[28860, 28860, 32820, 32820, 33060, 33660, 33660, 33660, 33660]","{206: 1, 208: 1}"
9,departure,T2E,25800,36,38,"[15114.43659291038, 17631.468930138446, 18123.653217623963, 18351.928042595595, 18453.252470331525, 19089.842819846508, 19959.165199964005, 20143.12630965815, 20488.0231589245, 20491.321016635786, 20509.854441231782, 20522.66036331545, 20764.160889938375, 20923.22162776728, 21048.185089095194, 21803.51200205951, 21902.441515036193, 21926.25900673289, 22579.648015830313, 22658.07382691432, 23050.27983209891, 23200.332272674175, 23465.383312417336, 24578.12285284347]","[18034.809420202517, 18911.039373373507, 19253.121026713903, 20504.588751179945, 20605.545227372917, 20728.292917487845, 21021.848622814337, 21723.036559404063, 23195.303774704564, 24002.935403237614, 24191.589548913995, 24263.605977939125]",[],"{9: 2, 13: 3, 14: 3, 15: 4, 16: 1, 18: 3, 19: 1, 20: 2, 21: 1, 22: 1, 23: 2, 24: 1, 25: 1, 26: 1, 27: 3, 28: 1, 29: 2, 32: 2, 35: 1, 43: 1, 45: 2}"
10,departure,T3,18900,201,0,"[6729.190100967752, 9848.311599065033, 10345.056614567637, 10621.391805373789, 10956.391725228836, 11114.740754932847, 11455.539853054768, 11502.312215407042, 11759.202691107452, 11811.27569953369, 12015.897833871542, 12024.548999333118, 12081.700499240473, 12203.54532067232, 12328.87866352214, 12332.155467698723, 12448.302399823184, 12463.598196613224, 12482.016009200881, 12539.043910843207, 12545.220602713953, 12643.583542262624, 12754.868229350484, 12763.708967876706, 12795.149620074357, 12831.982807349452, 12983.76674464443, 12999.140879748995, 13069.469673245563, 13224.449493613098, 13229.766463827265, 13267.116924738975, 13287.515551614788, 13312.047507655221, 13338.973194848759, 13345.61002465013, 13355.338108313068, 13429.71814770141, 13438.6662594396, 13494.426299197998, 13611.13464708867, 13690.39220467803, 13698.277547598896, 13716.36587126417, 13745.20519468906, 13864.742848102354, 13888.461402287614, 13904.971874718596, 13950.56626521418, 13959.978991609603, 13963.894744672793, 14023.096795462232, 14041.18680575911, 14054.694855514643, 14242.54709264089, 14258.93820870265, 14273.979826007886, 14362.15229657631, 14377.973550657176, 14416.535478942485, 14438.035366432543, 14447.306406199554, 14482.212862046406, 14507.62496972147, 14511.046847782492, 14523.096842367835, 14580.242429794434, 14635.162487809816, 14709.57131505999, 14737.96679433025, 14776.23134850378, 14811.78211927411, 14815.506031437724, 14825.172899022451, 14842.47576061303, 14878.737460019844, 14892.399770584461, 14899.86515458348, 14945.08347505804, 14993.902826430507, 14994.154243859395, 15011.626790891245, 15073.780911264292, 15086.621507118454, 15100.389868791726, 15139.353053194995, 15155.241869884554, 15190.368032943348, 15223.575311287113, 15306.834910672484, 15335.643272620728, 15353.634352388695, 15414.3063349529, 15450.284693336678, 15453.503145163546, 15512.049476828965, 15533.945140159085, 15571.904298620428, 15572.064507624478, 15599.84980722587, 15668.241461965938, 15680.365651393597, 15728.18430500148, 15757.904035221152, 15832.714550570152, 15838.883880163092, 15887.947665805614, 15974.837769779286, 16008.40318070681, 16072.421685522357, 16144.599039807432, 16177.867783735126, 16181.238846600978, 16195.98836948119, 16227.314386299504, 16236.923369561819, 16356.7066689043, 16388.540064756122, 16466.223019947192, 16514.514367491178, 16567.417264719053, 16627.5850168586, 16654.997145796526, 16683.91070974163, 16703.644028487644, 16724.78365429543, 16780.839257899228, 16968.14182122867, 17089.281612469793, 17136.021721597528, 17154.771724339433, 17184.567594063454, 17273.233165763173, 17317.350315605785, 17328.8661403003, 17588.448102485825, 17892.648136506938]","[7591.066891434389, 10089.801278072999, 10445.224142593006, 10809.946209102776, 11250.67865507468, 11882.966772758831, 11909.814835763771, 12240.279776636751, 12314.004731933024, 12577.543971167375, 12762.896842457829, 12808.701241980552, 13061.469121360129, 13332.271931163734, 13549.971854254229, 13700.13342954451, 13884.666230761872, 13954.96505160736, 14369.184002033557, 14379.71655785427, 14463.421187976373, 14507.505737358944, 14523.3228939485, 14560.998714107207, 14633.246527438008, 14712.03318580621, 14845.105754272481, 14883.931236992123, 14903.317119955826, 14920.116138294958, 14955.012670664162, 14989.003358789569, 15026.034310036566, 15188.899123954308, 15232.325490161513, 15238.395283572365, 15241.804200162534, 15421.22190649843, 15454.664810918404, 15476.956484903474, 15543.639933866427, 15573.106295519858, 15583.289043560186, 15620.58605959176, 15780.913980229354, 16041.486705796546, 16114.589592990653, 16183.144262272417, 16192.81196902276, 16225.21329468102, 16250.8712162009, 16531.47378327067, 16608.993022998322, 16841.319133300167, 16861.901273419768, 16903.506806497342, 16926.976299924932, 16947.254059738505, 17166.821143087214, 17327.554017448358, 17398.11047064705, 17477.9574933198, 17613.212919934067, 18278.47678721034]",[],{}
11,departure,T2D,19800,161,0,"[6750.818580844976, 8989.032546856046, 11576.671649040953, 11760.013002992117, 11942.869434579537, 11953.85889148946, 12508.811914938047, 12728.10665975392, 12736.144831537564, 12784.759843025673, 12957.06828323917, 12969.257761841836, 13236.998593047178, 13260.629249533737, 13353.170306186696, 13397.658366894742, 13507.062173962933, 13520.445617435631, 13563.701017631674, 13816.677660994807, 13876.730910052309, 13918.682563889046, 13969.554986764382, 13972.40474278589, 14062.126501138244, 14338.756603559876, 14348.201405081716, 14354.28308174892, 14535.067983684237, 14594.201099226862, 14769.19043249658, 14787.711259689368, 14855.566494772705, 14932.35127081739, 14997.656728139496, 15004.010151256925, 15016.351467238821, 15043.260636983623, 15094.063752428125, 15106.926060185377, 15183.279147563364, 15417.30169206584, 15426.932665540757, 15451.838761961066, 15466.100043457749, 15489.419861130287, 15521.903711800585, 15526.011802097955, 15543.687198701919, 15554.278252618933, 15621.877818599656, 15669.137024116928, 15685.824185164302, 15725.390523257813, 15759.149377524764, 15788.67634953978, 15880.36064379151, 15898.67348475512, 15908.844661484767, 15936.396992455553, 15953.564597064304, 15972.685468579812, 15996.97699245637, 16041.818981019704, 16092.22658772278, 16110.618125490708, 16141.822955995924, 16150.280889656495, 16165.276327189764, 16260.725201409306, 16293.837219998493, 16330.604616486973, 16396.431078988084, 16399.552888290807, 16761.920379883126, 16774.254937112284, 16775.484142193352, 16799.443333793835, 16878.13618876197, 16900.431445129416, 16918.30245674622, 16963.447983891365, 16975.882635632035, 17029.711889955073, 17109.704592130875, 17145.978106762497, 17176.84832990855, 17226.537173472207, 17229.32166539492, 17229.734630353545, 17361.34471714421, 17389.711126089285, 17435.25117708879, 17435.683099868013, 17496.881363251036, 17568.966642985677, 17594.75797838605, 17714.484039917148, 17760.206675948164, 17765.041547913755, 18126.74982868589, 18358.091841416357, 18479.366367599046, 18516.526155872558, 18667.496523693368, 18779.927339196503, 19735.803388246102, 19927.26895175915]","[8786.76113513984, 9489.971330205986, 11115.630152755253, 13080.583778650654, 13104.773763321693, 13407.98065012132, 13457.45850599077, 13716.930379867581, 13735.129539117195, 13946.153775685067, 14176.037468607443, 14257.02062942693, 14258.332054294162, 14500.563383659199, 14651.310732075759, 14791.563524467805, 14852.241549563742, 14978.241362941411, 14988.300888616828, 15142.853064062732, 15335.7778256298, 15418.433273786364, 15467.307267405495, 15494.588109536782, 15516.486519976881, 15527.25042475656, 15817.552471991065, 15828.429146650447, 15829.168175944953, 15837.702662110049, 15914.418208229377, 16368.693963782653, 16441.04405789357, 16605.344008610675, 16754.687868484692, 16786.089804287785, 17060.849377412225, 17174.886440996117, 17192.951811031802, 17205.460992481843, 17235.090626410514, 17251.821123034657, 17309.58239469273, 17374.712026745034, 17547.013319606063, 17551.924312721596, 18310.56236615802, 18628.557618146046, 18753.6989351296, 19002.779410050847, 19102.29943617874, 19623.66529634806, 20129.019193946853]",[],{}
13,departure,T2E,54600,138,155,"[21673.391140151754, 37850.63149288244, 38046.63561183616, 38050.23143156621, 38099.00689189896, 38407.520742193316, 38862.10647758716, 40096.37034832377, 41258.38297495635, 42099.66715339795, 42375.00799745796, 43237.9963975872, 43610.77899261129, 44350.51803355532, 44371.0948440833, 44376.363479323845, 44440.06545543004, 44601.1631178306, 44632.2789471853, 45064.94540076452, 45066.545864955166, 45422.12725508736, 45489.385760326935, 45800.16750613714, 46012.321572620516, 46173.64034522221, 46321.79884888024, 46339.92097467218, 46389.632715824715, 46629.09001208341, 46638.790044400295, 46707.091296675215, 47119.80124073992, 47248.05500944163, 47302.69921631358, 47542.75616353169, 47578.08168777951, 47639.92192520014, 47780.36593745093, 47934.21121214345, 47993.365460472516, 48013.999350247235, 48348.02072078285, 48408.04666171091, 48484.82471560347, 48509.28529304158, 48730.03756866642, 48802.47862081071, 48839.55662047743, 48860.3726567855, 48897.127989602384, 48976.19641183547, 49062.88434582448, 49189.43977227677, 49326.073510823844, 49403.50336046852, 49409.27475201931, 49477.52237265896, 49504.80015719861, 49687.57549174246, 49747.34597116771, 49765.32708168156, 49849.58340746689, 49954.78602807405, 49992.66700608718, 50317.9984864314, 50453.56280606627, 50461.85066235808, 50534.445846972085, 50552.5435426181, 50925.56032537896, 51046.03213867654, 51324.90747868634, 51369.95079821694, 51414.7633134451, 51485.86544060644, 51698.32182138132, 51867.74469999726, 52204.992669649444, 52258.12344477338, 52484.03310154435, 52797.88119718911, 53547.97871307312, 54585.95008790253, 54956.23263164073]","[42766.3528359958, 44432.134066266604, 44830.34624266917, 45133.07933601125, 45275.36630499792, 45618.89057953024, 45940.95024341706, 46429.77336886461, 46571.51143985863, 46738.39294212382, 46844.856429765845, 46883.0721309387, 46886.58627388416, 47459.79470655742, 47639.76605681861, 48157.56009368665, 48171.54518811453, 48511.85732873196, 48674.79893637383, 48964.4411652467, 49627.88906346626, 49740.95679209622, 49858.89932408445, 49902.55930269963, 50864.72924024938, 50874.603782973936, 50993.198172094926, 51081.140653396884, 51102.95425541069, 51489.00773476457, 51854.99206592702, 52724.113999102505, 53229.767460527546, 53336.82545756172, 53819.34692651569, 55159.569151976866, 56314.11051011463]","[44280, 44280, 44280, 44880, 44880, 46260, 46620, 46620, 49560, 49560, 49560, 49560, 49560, 49560, 49560, 49740]","{387: 1, 389: 1, 390: 9, 399: 10, 400: 11, 402: 1, 405: 4, 412: 8, 419: 10, 420: 10, 423: 11, 433: 4, 436: 6, 438: 11, 439: 13, 440: 3, 441: 2, 442: 1, 444: 5, 446: 14, 451: 9, 452: 9, 458: 2}"
