Terminal,QFU,TAXI_TIME
T1,26L,956.0
T1,26R,987.1551724137931
T1,27L,826.8993020937188
T1,27R,523.3068362480127
T2A,26L,653.135935397039
T2A,26R,763.75
T2A,27L,1128.4158415841584
T2A,27R,803.04
T2B,26L,656.9704918032787
T2B,26R,695.5513307984791
T2B,27L,774.4941176470588
T2B,27R,733.5616438356165
T2C,26L,590.126582278481
T2C,26R,776.566265060241
T2C,27L,1268.5714285714287
T2C,27R,956.3855421686746
T2D,26L,657.1034482758621
T2D,26R,738.2352941176471
T2D,27L,987.3134328358209
T2D,27R,712.967032967033
T2E,26L,522.19921875
T2E,26R,907.6557863501483
T2E,27L,1260.5152224824355
T2E,27R,783.3122171945702
T2F,26L,528.3472340425532
T2F,26R,840.8826695371367
T2F,27L,868.1724845995893
T2F,27R,559.9101123595506
T2G,26L,352.0879120879121
T2G,26R,884.5018450184502
T2G,27L,1317.8145695364237
T2G,27R,709.0588235294117
T3,26L,795.2112676056338
T3,26R,786.1090909090909
T3,27L,811.63179916318
T3,27R,446.7826086956522
